job_id,job_title,skill,job_title_dup,skill_category
JOB00001,Machine Learning Engineer,Docker,Machine Learning Engineer,DevOps
JOB00001,Machine Learning Engineer,Machine Learning,Machine Learning Engineer,Machine Learning
JOB00001,Machine Learning Engineer,Python,Machine Learning Engineer,Programming
JOB00001,Machine Learning Engineer,Scikit-learn,Machine Learning Engineer,Machine Learning
JOB00001,Machine Learning Engineer,TensorFlow,Machine Learning Engineer,Machine Learning
JOB00002,Product Analyst,Cloud Computing,Product Analyst,Cloud
JOB00002,Product Analyst,Excel,Product Analyst,Data Analytics
JOB00002,Product Analyst,Product Analytics,Product Analyst,Data Analytics
JOB00002,Product Analyst,Python,Product Analyst,Programming
JOB00002,Product Analyst,SQL,Product Analyst,Database
JOB00003,Web Developer,CSS,Web Developer,Programming
JOB00003,Web Developer,Git,Web Developer,DevOps
JOB00003,Web Developer,HTML,Web Developer,Programming
JOB00003,Web Developer,Java,Web Developer,Programming
JOB00003,Web Developer,JavaScript,Web Developer,Programming
JOB00003,Web Developer,Machine Learning,Web Developer,Machine Learning
JOB00003,Web Developer,React,Web Developer,Programming
JOB00004,Web Developer,CSS,Web Developer,Programming
JOB00004,Web Developer,Git,Web Developer,DevOps
JOB00004,Web Developer,HTML,Web Developer,Programming
JOB00004,Web Developer,Java,Web Developer,Programming
JOB00004,Web Developer,JavaScript,Web Developer,Programming
JOB00004,Web Developer,Machine Learning,Web Developer,Machine Learning
JOB00004,Web Developer,React,Web Developer,Programming
JOB00005,Database Administrator,Database,Database Administrator,Database
JOB00005,Database Administrator,Database Administration,Database Administrator,Database
JOB00005,Database Administrator,MySQL,Database Administrator,Database
JOB00005,Database Administrator,Oracle,Database Administrator,Database
JOB00005,Database Administrator,PostgreSQL,Database Administrator,Database
JOB00005,Database Administrator,SQL,Database Administrator,Database
JOB00006,Machine Learning Engineer,Docker,Machine Learning Engineer,DevOps
JOB00006,Machine Learning Engineer,Machine Learning,Machine Learning Engineer,Machine Learning
JOB00006,Machine Learning Engineer,Python,Machine Learning Engineer,Programming
