job_id,job_title,rule_based_skills,rule_based_skill_count
JOB00001,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00002,Product Analyst,"['Cloud Computing', 'Excel', 'Product Analytics', 'Python', 'SQL']",5
JOB00003,Web Developer,"['CSS', 'Git', 'HTML', 'Java', 'JavaScript', 'Machine Learning', 'React']",7
JOB00004,Web Developer,"['CSS', 'Git', 'HTML', 'Java', 'JavaScript', 'Machine Learning', 'React']",7
JOB00005,Database Administrator,"['Database', 'Database Administration', 'MySQL', 'Oracle', 'PostgreSQL', 'SQL']",6
JOB00006,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00007,Product Analyst,"['Excel', 'Product Analytics', 'Python', 'SQL']",4
JOB00008,QA Engineer,"['Automation Testing', 'Java', 'Python', 'SQL', 'Selenium']",5
JOB00009,Web Developer,"['CSS', 'Git', 'HTML', 'Java', 'JavaScript', 'Machine Learning', 'React']",7
JOB00010,BI Analyst,"['DAX', 'Data Visualization', 'Excel', 'Power BI', 'SQL']",5
JOB00011,Product Analyst,"['Excel', 'Product Analytics', 'Python', 'SQL']",4
JOB00012,Database Administrator,"['Database', 'Database Administration', 'MySQL', 'Oracle', 'PostgreSQL', 'SQL']",6
JOB00013,SQL Developer,"['Database', 'ETL', 'MySQL', 'PostgreSQL', 'SQL']",5
JOB00014,Software Engineer,"['Git', 'Java', 'Python', 'REST API', 'SQL']",5
JOB00015,QA Engineer,"['Automation Testing', 'Java', 'Python', 'SQL', 'Selenium']",5
JOB00016,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00017,Power BI Developer,"['DAX', 'Excel', 'Power BI', 'Power Query', 'SQL']",5
JOB00018,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00019,Data Engineer,"['AWS', 'ETL', 'Python', 'SQL', 'Spark']",5
JOB00020,Marketing Analyst,"['Excel', 'Marketing Analytics', 'Power BI', 'Python', 'SQL']",5
JOB00021,Python Developer,"['Django', 'Flask', 'Git', 'Python', 'SQL']",5
JOB00022,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00023,Data Scientist,"['Machine Learning', 'Oracle', 'Pandas', 'Python', 'SQL', 'Statistics']",6
JOB00024,Product Analyst,"['Excel', 'Product Analytics', 'Python', 'SQL']",4
JOB00025,DevOps Engineer,"['AWS', 'Docker', 'Jenkins', 'Kubernetes', 'Linux']",5
JOB00026,Web Developer,"['CSS', 'Cloud Computing', 'Git', 'HTML', 'Java', 'JavaScript', 'Machine Learning', 'React']",8
JOB00027,Data Analyst,"['Cloud Computing', 'Excel', 'Power BI', 'Python', 'SQL', 'Tableau']",6
JOB00028,Data Scientist,"['Machine Learning', 'Pandas', 'Python', 'SQL', 'Statistics']",5
JOB00029,QA Engineer,"['Automation Testing', 'Java', 'Python', 'SQL', 'Selenium']",5
JOB00030,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00031,Machine Learning Engineer,"['Docker', 'Machine Learning', 'Python', 'Scikit-learn', 'TensorFlow']",5
JOB00032,Product Analyst,"['Excel', 'Product Analytics', 'Python', 'SQL']",4
JOB00033,Data Scientist,"['Machine Learning', 'Pandas', 'Python', 'SQL', 'Statistics']",5
JOB00034,Data Scientist,"['Machine Learning', 'Pandas', 'Python', 'SQL', 'Statistics']",5
JOB00035,Business Analyst,"['Business Analysis', 'Excel', 'Power BI', 'Requirements Gathering', 'SQL']",5
JOB00036,Data Engineer,"['AWS', 'ETL', 'Python', 'SQL', 'Spark']",5
JOB00037,Business Analyst,"['Business Analysis', 'Excel', 'Power BI', 'Requirements Gathering', 'SQL']",5
JOB00038,QA Engineer,"['Automation Testing', 'Java', 'Oracle', 'Python', 'SQL', 'Selenium']",6
JOB00039,Python Developer,"['Cloud Computing', 'Django', 'Flask', 'Git', 'Python', 'SQL']",6
JOB00040,QA Engineer,"['Automation Testing', 'Java', 'Python', 'SQL', 'Selenium']",5
JOB00041,Cloud Engineer,"['AWS', 'Azure', 'Cloud Computing', 'Docker', 'Linux']",5
JOB00042,DevOps Engineer,"['AWS', 'Docker', 'Jenkins', 'Kubernetes', 'Linux']",5
